city,businessName,phone,address,postcode,website,rating,reviewCount,source
Manchester,Lash Loft Manchester,,"Beehive Mill, Ancoats, Manchester M4 6JG, United Kingdom",,https://linktr.ee/lashloftmcr?utm_source=linktree_profile_share&ltsid=bc91f089-a2c0-4584-b2ca-58050d32b4f1,5,13,apify
Manchester,London Lash - Biab Nails Manchester - Eyelashes & Eyebrow,+44 7874 909728,"4th floor, Gainsborough House, buzz 501 enter, 109 Portland St, Manchester M1 6DN, United Kingdom",,https://london-lash.com/,4.9,337,apify
Manchester,La Belle Lashes & Brows in Manchester,+44 7510 630654,"49 Piccadilly, Manchester M1 2AP, United Kingdom",,https://www.instagram.com/labellebeautyyy,5,30,apify
Manchester,Savage BeautyLuxe - Lash Extension & Brows - Piccadilly gardens,+44 7423 032987,"7 Charlotte St, Manchester M1 4DZ, United Kingdom",,https://savagebeautyluxe.co.uk/,5,24,apify
Manchester,All Eyes by Laura,,"66 Ellesmere St, Manchester M15 4QT, United Kingdom",,http://www.instagram.com/alleyesbylaura,5,111,apify
Manchester,Linh Beauty,+44 7894 556789,"19 Spring Gardens, Manchester M2 1FB, United Kingdom",,https://widget.treatwell.co.uk/place/linh-beauty/?utm_medium=partner-ecosystem&utm_campaign=partner-instagram&utm_content=book-now,4.5,75,apify
Manchester,Underaura - Lash Tech Manchester city centre,+44 7454 925669,"74 Princess St, Manchester M1 6JD, United Kingdom",,https://www.phorest.com/salon/theshallowslimited/book/services?staffId=v1llywF7nOXfLooS2xlECA,5,10,apify
Manchester,C•LOVE BEAUTY UK,+44 7775 830096,"Ste 516, 49 Piccadilly, Manchester M1 2AP, United Kingdom",,http://clovebeautyuk.gettimely.com/,4.8,16,apify
Manchester,Eyelash extension Manchester & permanent make up,+44 7593 604629,"151 Eccles Old Rd, Salford M6 8FH, United Kingdom",,https://www.facebook.com/eyelashextensions.manchester.1,5,11,apify
